huc12,duration_hours,is_monotonic,minimum_mm,maximum_mm,threshold_count
031300031308,72,True,122.19039888693482,530.6975874794878,10
031300031309,1,True,40.979312203016946,128.12211931638927,10
031300031309,3,True,56.466105988256146,199.5817360448579,10
031300031309,6,True,67.51583181896092,268.3824896577928,10
031300031309,24,True,94.66274027467138,426.7668405401699,10
031300031309,72,True,121.52299911909003,522.1388339668542,10
031300031310,1,True,40.77447152591871,130.41950545263313,10
031300031310,3,True,56.19941906251811,202.5928633713563,10
031300031310,6,True,67.27638674078322,271.1416177056542,10
031300031310,24,True,94.45376967094857,427.33297302045577,10
031300031310,72,True,121.33258381458339,523.1654874109494,10
031300031311,1,True,41.040506361320645,132.3208937271681,10
031300031311,3,True,56.77180396551061,207.17579113797603,10
031300031311,6,True,68.15559558805506,278.95489433558623,10
031300031311,24,True,95.54212322187959,440.88189817283563,10
031300031311,72,True,122.80616174863869,538.7783812653714,10
031300031312,1,True,41.084353243688355,131.35458209224262,10
031300031312,3,True,56.753666942681285,205.7837807417537,10
031300031312,6,True,68.04751338017965,277.20642923275886,10
031300031312,24,True,95.43990791636087,438.75571027690006,10
031300031312,72,True,122.5991288483943,536.0210709574465,10
031300031313,1,True,40.67409826197709,131.25476031839344,10
031300031313,3,True,56.11027713232199,201.83906459987176,10
031300031313,6,True,67.1235390296509,268.6796733618965,10
031300031313,24,True,93.87054398540415,422.57122731101856,10
031300031313,72,True,120.65447085806677,517.7980392991237,10
031300031600,1,True,40.813168981914956,131.88579607372836,10
031300031600,3,True,56.53450653825702,202.2223925706619,10
031300031600,6,True,67.76477831133292,269.8833478748729,10
031300031600,24,True,94.31349872586662,427.43769372646483,10
031300031600,72,True,121.36612572013169,524.6821998758905,10
031300040104,1,True,41.19667275776523,130.03697319117913,10
031300040104,3,True,57.30072494664297,196.17388817437416,10
031300040104,6,True,68.5261976916184,261.7613656645441,10
031300040104,24,True,94.25982792009201,421.2213315060295,10
031300040104,72,True,121.40005678284439,518.5256644746127,10
031300040206,1,True,42.0685588870192,128.2818838772187,10
031300040206,3,True,58.75481310260342,192.6723303704574,10
031300040206,6,True,70.09559163988544,258.9414015519834,10
031300040206,24,True,95.41040962253625,424.41881440586945,10
031300040206,72,True,122.87426600669679,520.9698375084655,10
031300040301,1,True,41.590748247355684,134.00946537999107,10
031300040301,3,True,57.7892184000626,212.41537039574843,10
031300040301,6,True,69.47300684159883,288.821265473392,10
031300040301,24,True,96.78030948012552,458.47239516303955,10
031300040301,72,True,124.26432376146262,556.1150519050935,10
031300040302,1,True,41.335532935506556,133.23628760399774,10
031300040302,3,True,57.34922806792496,209.9468192426762,10
031300040302,6,True,68.92670051201443,284.36081962680026,10
031300040302,24,True,96.24508641408283,451.09988303683195,10
031300040302,72,True,123.68303160174996,549.2545359055539,10
031300040303,1,True,41.92130311106373,134.92123022827698,10
031300040303,3,True,58.33763460123738,214.6762284078682,10
031300040303,6,True,70.13093585907666,292.64760086855466,10
031300040303,24,True,97.35866591959187,464.4343727145656,10
031300040303,72,True,124.81324066743333,561.0131547336246,10
031300040304,1,True,41.79957965004796,134.01418805433838,10
031300040304,3,True,58.206778346468965,210.8421330826601,10
031300040304,6,True,69.94544256943946,286.3897333586075,10
031300040304,24,True,96.91424203898258,456.29628741087356,10
031300040304,72,True,124.36144564345551,553.2161554212556,10
031300040401,1,True,42.301786734479194,135.95837685550978,10
031300040401,3,True,58.92221177017369,217.184982781007,10
031300040401,6,True,70.78627715796752,296.4435156434156,10
031300040401,24,True,97.94210368965979,469.2585987341383,10
031300040401,72,True,125.23324893812766,564.5464109845257,10
031300040402,1,True,42.57677624642518,136.27850957718042,10
031300040402,3,True,59.332704109469624,217.81706967772413,10
031300040402,6,True,71.1897099127513,297.2260725193378,10
031300040402,24,True,98.18383123432045,469.8229896488135,10
031300040402,72,True,125.23469038395672,564.2631359426764,10
031300040403,1,True,41.52903068112005,131.95257181841225,10
031300040403,3,True,57.84980458528819,203.6083278052296,10
031300040403,6,True,69.4128912583483,274.765731246576,10
031300040403,24,True,95.8590789574307,441.1274590765684,10
031300040403,72,True,123.32860000624672,538.8234367163246,10
031300040404,1,True,42.14749751157466,132.6963466381192,10
031300040404,3,True,58.78772103611968,206.5544796491883,10
031300040404,6,True,70.49042035068362,280.3865497306037,10
031300040404,24,True,96.9991689215969,450.8388252244821,10
031300040404,72,True,124.44182901584907,547.0588340948972,10
031300040405,1,True,42.47504680923013,129.3216037810068,10
031300040405,3,True,59.352626448576366,196.77911954484807,10
031300040405,6,True,70.85349488608591,266.208740685298,10
031300040405,24,True,96.48643352095698,435.6496548691846,10
