nhdplus_comid,site_no
18647912,02443230
18647916,02443230
18647924,02443230
18647926,02443230
18647928,02443230
18647934,02443230
18647938,02443230
18647944,02443230
18647946,02443230
18647994,02442500
18647996,02442500
18648002,02442500
18648006,02442500
18648008,02442500
18648020,02442500
18648036,02442500
18648048,02442500
18648058,02442500
18648064,02442500
18648072,02442500
18648078,02442500
18648110,02442500
18648112,02442500
18648114,02442500
18648120,02442500
18648124,02442500
18648130,02442500
18648134,02442500
18648150,02442500
18648172,02442500
18648194,02443000
18648204,02443000
18648210,02443000
18648212,02443000
18648214,02443000
18648216,02443000
18648222,02443000
18648568,02443230
18648580,02442500
18648580,02443000
18648606,02443000
18648608,02443000
18648612,02443000
18648622,02443000
18648642,02443000
18648648,02443000
18648652,02443000
18669736,02437800
18669754,02437800
18669788,02437800
18669854,02437800
18669926,02437800
18669964,02437800
18669972,02438000
18669974,02438000
18669978,02437800
18669982,02438000
18669994,02438000
18670002,02437800
18670008,02438000
18670068,02438000
18670086,02437800
18670104,02438000
18670114,02437800
18670116,02437800
18670132,02437800
18670160,02437900
18670176,02437900
18670180,02438000
18670188,02437900
18670194,02437900
18670198,02437900
18670204,02437900
18670208,02437900
18670222,02437900
18670224,02438000
18670226,02437900
18670234,02437900
18670234,02438000
18670236,02437900
18670244,02438000
18670252,02437900
18670288,02437900
18670312,02437900
18670524,02437800
18670534,02437900
18670534,02438000
18671406,02438000
18671410,02438000
18671422,02438000
18671466,02438000
18671478,02438000
18671522,02438000
18671542,02438000
18671544,02438000
18671574,02438000
18671578,02438000
18671582,02438000
18671610,02438000
18672940,02439000
18672942,02439000
18672980,02439000
18672982,02439000
18673006,02439000
18673010,02439000
18673072,02439000
18673076,02439000
18673156,02439000
18673210,02439000
18673226,02439000
18673236,02439000
18673930,02439000
18694543,02432500
18694569,02432500
18694667,02432500
18694705,02432500
18694743,02432500
18694803,02432500
18694855,02432500
18694871,02432500
18694885,02432500
18694899,02432500
18694933,02432500
18694937,02432500
18694947,02432500
18694991,02432500
18694993,02432500
18695001,02432500
18695031,02432500
18695047,02432500
18695165,02432500
18696051,02432500
18696099,02432500
18696119,02432500
18696527,02432500
19566558,03592200
19566568,03592200
19566574,03592200
19566578,03592200
19566880,03592200
19566884,03592200
19566886,03592200
19567254,03592500
19567258,03592500
19567282,03592500
19567302,03592500
19567334,03592500
19567348,03592500
19567372,03592500
19567406,03592500
19567420,03592500
19567462,03592500
19567468,03592500
19567624,03592200
19567648,03592200
