Station ID,State,Station name,Latitude,Longitude,Post-merge station ID,Co-located station ID,Base duration,Source of data,Period of record,Elevation (ft)
01-8391,AL,TUSCUMBIA,34.7167,-87.7167,,,1-day,NCDC,1/1892-2/1940,489
01-8398,AL,TUSKEGEE,32.4333,-85.7,01-8403,,1-day,NCDC,11/1899-6/1954,459
01-8403,AL,TUSKEGEE 3 S,32.3833,-85.65,,,1-day,NCDC,11/1899-10/1968,420
01-8438,AL,UNION SPRINGS 9 S,32.0142,-85.7464,,,1-day,NCDC,5/1892-7/2011,440
01-8446,AL,UNIONTOWN,32.4717,-87.5211,,,1-day,NCDC,7/1893-10/2011,257
01-8469,AL,VALLEY HEAD,34.5667,-85.6128,,,1-day,NCDC,1/1893-10/2011,1062
01-8517,AL,VERNON,33.7392,-88.1275,,,1-day; 1-hour,NCDC,3/1938-10/2011; 6/1948-12/2010,298
01-8605,AL,WADLEY,33.1167,-85.5667,01-8608,,1-day,NCDC,2/1933-10/1992,675
01-8608,AL,WADLEY NR 2,33.1361,-85.5869,,,1-day,NCDC,2/1933-10/2011,710
01-8637,AL,WALLACE 2 E,31.2097,-87.1789,,,1-day,NCDC,5/1941-10/2011,205
01-8648,AL,WALNUT GROVE,34.0661,-86.3069,,,1-day,NCDC,6/1941-10/2011,850
01-8653,AL,WALNUT HILL 3 W,32.7028,-85.8936,,,1-day,NCDC,1/1925-10/2011,410
01-8668,AL,WARRIOR,33.8167,-86.8167,01-8670,,1-hour,NCDC,3/1967-4/1972,541
01-8670,AL,WARRIOR,33.7925,-86.8258,,,1-hour; 15-min,NCDC,6/1948-12/2010; 10/1972-12/2010,520
01-8673,AL,WARRIOR L&D,32.7744,-87.8306,,,1-day; 1-hour; 15-min,NCDC,5/1938-10/2011; 6/1948-12/2010; 5/1971-12/2010,110
01-8686,AL,WATERLOO,34.9167,-88.0667,22-4455,,1-day,NCDC,7/1922-4/1975,459
01-8755,AL,WEISS DAM,34.1333,-85.8,,,1-day,NCDC,1/1900-10/2011,590
01-8809,AL,WEST BLOCTON,33.1194,-87.1239,,,1-day,NCDC,3/1940-10/2011,500
01-8859,AL,WETUMPKA,32.5906,-86.2103,,,1-day,NCDC,1/1893-7/2011,257
01-8867,AL,WHATLEY,31.6508,-87.7097,,,1-day,NCDC,1/1940-9/2007,170
01-8925,AL,WHITFIELD LOCK 3,32.2833,-88.0167,01-6334,,1-day,NCDC,1/1932-12/1960,30
01-8998,AL,WINFIELD 2 SW,33.9111,-87.8475,,,1-day,NCDC,4/1923-10/2011,468
01-9103,AL,YATES HYDRO PLT,32.5667,-85.9,,,1-day,NCDC,1/1892-1/1970,341
62-5483,AL,MOBILE POINT,30.2278,-88.0242,01-3035,,1-day,FORTS,6/1866-12/1892,6
