catalog_event_id,matched_flood_report_count,matched_flash_flood_count,matched_property_damage_usd,matched_crop_damage_usd,matched_direct_deaths,matched_direct_injuries
AL-RF-20131223-0305,6,1,0.0,0.0,0.0,0.0
AL-RF-20140203-0306,0,0,0.0,0.0,0.0,0.0
AL-RF-20140316-0307,1,1,0.0,0.0,0.0,0.0
AL-RF-20140328-0308,3,0,15000.0,0.0,0.0,0.0
AL-RF-20140407-0309,26,16,50000.0,0.0,0.0,0.0
AL-RF-20140415-0310,16,8,125000.0,0.0,0.0,0.0
AL-RF-20140418-0311,5,0,0.0,0.0,0.0,0.0
AL-RF-20140430-0312,18,13,34323460.0,0.0,3.0,2.0
AL-RF-20140514-0313,8,8,100000.0,0.0,0.0,0.0
AL-RF-20140709-0314,1,1,0.0,0.0,0.0,0.0
AL-RF-20140721-0315,1,1,0.0,0.0,0.0,0.0
AL-RF-20140818-0316,1,1,0.0,0.0,0.0,0.0
AL-RF-20140903-0317,0,0,0.0,0.0,0.0,0.0
AL-RF-20140908-0318,0,0,0.0,0.0,0.0,0.0
AL-RF-20141014-0319,3,2,0.0,0.0,0.0,0.0
AL-RF-20141117-0320,0,0,0.0,0.0,0.0,0.0
AL-RF-20141206-0321,0,0,0.0,0.0,0.0,0.0
AL-RF-20141224-0322,8,6,5000.0,0.0,0.0,0.0
AL-RF-20150104-0323,3,3,0.0,0.0,0.0,0.0
AL-RF-20150401-0324,2,2,0.0,0.0,1.0,0.0
AL-RF-20150413-0325,5,2,1400000.0,0.0,0.0,0.0
AL-RF-20150417-0326,17,15,1290000.0,0.0,0.0,0.0
AL-RF-20150419-0327,14,14,90000.0,0.0,0.0,0.0
AL-RF-20150525-0328,0,0,0.0,0.0,0.0,0.0
AL-RF-20150528-0329,3,3,25000.0,0.0,0.0,0.0
AL-RF-20150610-0330,1,1,0.0,0.0,0.0,0.0
AL-RF-20150702-0331,0,0,0.0,0.0,0.0,0.0
AL-RF-20150704-0332,1,1,0.0,0.0,0.0,0.0
AL-RF-20150806-0333,1,1,0.0,0.0,0.0,0.0
AL-RF-20150910-0334,0,0,0.0,0.0,0.0,0.0
AL-RF-20150928-0335,3,3,200000.0,0.0,0.0,0.0
AL-RF-20151027-0336,2,0,0.0,0.0,0.0,0.0
AL-RF-20151101-0337,1,1,0.0,0.0,0.0,0.0
AL-RF-20151102-0338,1,1,0.0,0.0,0.0,0.0
AL-RF-20151107-0339,0,0,0.0,0.0,0.0,0.0
AL-RF-20151118-0340,9,9,15000.0,0.0,0.0,0.0
AL-RF-20151202-0341,0,0,0.0,0.0,0.0,0.0
AL-RF-20151222-0342,1,1,30000.0,0.0,0.0,0.0
AL-RF-20151225-0343,72,54,7741000.0,0.0,3.0,0.0
AL-RF-20151231-0344,7,4,1520000.0,0.0,0.0,0.0
AL-RF-20160203-0345,3,2,0.0,0.0,0.0,0.0
AL-RF-20160224-0346,6,2,0.0,0.0,0.0,0.0
AL-RF-20160312-0347,7,6,0.0,0.0,0.0,0.0
AL-RF-20160402-0348,25,22,150000.0,0.0,0.0,0.0
AL-RF-20160614-0349,0,0,0.0,0.0,0.0,0.0
AL-RF-20160615-0350,0,0,0.0,0.0,0.0,0.0
AL-RF-20160629-0351,1,1,0.0,0.0,0.0,0.0
AL-RF-20160917-0352,0,0,0.0,0.0,0.0,0.0
AL-RF-20161129-0353,4,4,0.0,0.0,0.0,0.0
AL-RF-20161130-0354,4,4,0.0,0.0,0.0,0.0
AL-RF-20161206-0355,5,0,0.0,0.0,0.0,0.0
AL-RF-20170103-0356,13,9,2580000.0,0.0,0.0,0.0
AL-RF-20170121-0357,11,9,0.0,0.0,0.0,0.0
AL-RF-20170122-0358,11,9,0.0,0.0,0.0,0.0
